SalesRepFullName, SalesYear,YearlySalesTotal,Rolling3YearAverage
Amy Alberts,2012,116029.652,116029.652
Amy Alberts,2013,560091.7843,338060.7181
Amy Alberts,2014,56637.7478,244253.0613
David Campbell,2012,1288068.723,1288068.723
David Campbell,2013,1351422.362,1319745.543
David Campbell,2014,490466.3189,1043319.135
Garrett Vargas,2012,1283569.629,1283569.629
Garrett Vargas,2013,1389836.81,1336703.22
Garrett Vargas,2014,435948.9552,1036451.798
Jae Pak,2012,3014278.047,3014278.047
Jae Pak,2013,4106064.015,3560171.031
Jae Pak,2014,1382996.584,2834446.215
Jillian Carson,2012,4317306.574,4317306.574
Jillian Carson,2013,3396776.267,3857041.421
Jillian Carson,2014,1040093.407,2918058.749
José Saraiva,2012,1835715.87,1835715.87
José Saraiva,2013,1870884.182,1853300.026
José Saraiva,2014,1044810.828,1583803.627
Linda Mitchell,2012,3834908.674,3834908.674
Linda Mitchell,2013,4111294.905,3973101.79
Linda Mitchell,2014,1271088.521,3072430.7
Lynn Tsoflias,2013,836055.1233,836055.1233
Lynn Tsoflias,2014,585755.8005,710905.4619
Michael Blythe,2012,3375456.895,3375456.895
Michael Blythe,2013,3985374.899,3680415.897
Michael Blythe,2014,1057247.379,2806026.391
Pamela Ansman-Wolfe,2012,1208264.383,1208264.383
Pamela Ansman-Wolfe,2013,963420.5805,1085842.482
Pamela Ansman-Wolfe,2014,504932.044,892205.6693
Rachel Valdez,2013,1245458.78,1245458.78
Rachel Valdez,2014,581607.9322,913533.3559
Ranjit Varkey Chudukatil,2012,996291.9079,996291.9079
Ranjit Varkey Chudukatil,2013,2646078.409,1821185.158
Ranjit Varkey Chudukatil,2014,867518.614,1503296.31
Shu Ito,2012,2294210.55,2294210.55
Shu Ito,2013,2387256.061,2340733.306
Shu Ito,2014,777941.652,1819802.755
Stephen Jiang,2012,453524.5233,453524.5233
Stephen Jiang,2013,431088.7237,442306.6235
Stephen Jiang,2014,178584.3625,354399.2032
Syed Abbas,2013,151257.1151,151257.1151
Syed Abbas,2014,21267.336,86262.22554
Tete Mensa-Annan,2012,441639.5961,441639.5961
Tete Mensa-Annan,2013,1269908.924,855774.2598
Tete Mensa-Annan,2014,600997.1704,770848.5633
Tsvi Reiter,2012,2674436.351,2674436.351
Tsvi Reiter,2013,2188082.781,2431259.566
Tsvi Reiter,2014,787204.4288,1883241.187
